Index  ,Expanded ,Fringe ,Depth ,Path
s68:h4 ,      34 ,    64 ,   11 ,"['down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left']"
s69:h1 ,       5 ,    12 ,    5 ,"['right', 'right', 'up', 'left', 'left']"
s69:h2 ,       5 ,    12 ,    5 ,"['right', 'right', 'up', 'left', 'left']"
s69:h3 ,       5 ,    12 ,    5 ,"['right', 'right', 'up', 'left', 'left']"
s69:h4 ,       5 ,    12 ,    5 ,"['right', 'right', 'up', 'left', 'left']"
s70:h1 ,       5 ,    12 ,    5 ,"['up', 'right', 'up', 'left', 'left']"
s70:h2 ,       5 ,    12 ,    5 ,"['up', 'right', 'up', 'left', 'left']"
s70:h3 ,       5 ,    12 ,    5 ,"['up', 'right', 'up', 'left', 'left']"
s70:h4 ,       5 ,    12 ,    5 ,"['up', 'right', 'up', 'left', 'left']"
s71:h1 ,     160 ,   272 ,   13 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left']"
s71:h2 ,      52 ,    86 ,   13 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left']"
s71:h3 ,      45 ,    79 ,    9 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left']"
s71:h4 ,      53 ,    93 ,   13 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left']"
s72:h1 ,       5 ,    12 ,    5 ,"['right', 'up', 'left', 'up', 'left']"
s72:h2 ,       5 ,    12 ,    5 ,"['right', 'up', 'left', 'up', 'left']"
s72:h3 ,       5 ,    12 ,    5 ,"['right', 'up', 'left', 'up', 'left']"
s72:h4 ,       5 ,    12 ,    5 ,"['right', 'up', 'left', 'up', 'left']"
s73:h1 ,       3 ,     7 ,    3 ,"['left', 'up', 'up']"
s73:h2 ,       3 ,     7 ,    3 ,"['left', 'up', 'up']"
s73:h3 ,       3 ,     7 ,    3 ,"['left', 'up', 'up']"
s73:h4 ,       3 ,     7 ,    3 ,"['left', 'up', 'up']"
s74:h1 ,      29 ,    52 ,    9 ,"['left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s74:h2 ,      13 ,    26 ,    9 ,"['left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s74:h3 ,      13 ,    26 ,    9 ,"['left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s74:h4 ,      16 ,    32 ,    9 ,"['left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s75:h1 ,      56 ,   102 ,   11 ,"['up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left']"
s75:h2 ,      18 ,    33 ,   11 ,"['up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left']"
s75:h3 ,      15 ,    29 ,   11 ,"['up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left']"
s75:h4 ,      15 ,    29 ,   11 ,"['up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left']"
s76:h1 ,      19 ,    36 ,    9 ,"['left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s76:h2 ,       9 ,    18 ,    9 ,"['left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s76:h3 ,       9 ,    18 ,    9 ,"['left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s76:h4 ,      15 ,    29 ,    9 ,"['left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s77:h1 ,       5 ,    12 ,    5 ,"['down', 'right', 'up', 'up', 'left']"
s77:h2 ,       5 ,    12 ,    5 ,"['down', 'right', 'up', 'up', 'left']"
s77:h3 ,       5 ,    12 ,    5 ,"['down', 'right', 'up', 'up', 'left']"
s77:h4 ,       5 ,    12 ,    5 ,"['down', 'right', 'up', 'up', 'left']"
s78:h1 ,       5 ,    12 ,    5 ,"['up', 'left', 'down', 'left', 'up']"
s78:h2 ,       5 ,    12 ,    5 ,"['up', 'left', 'down', 'left', 'up']"
s78:h3 ,       5 ,    12 ,    5 ,"['up', 'left', 'down', 'left', 'up']"
s78:h4 ,       5 ,    12 ,    5 ,"['up', 'left', 'down', 'left', 'up']"
