Index  ,Expanded ,Fringe ,Depth ,Path
s1:BFS ,       0 ,     0 ,    0 ,[]
s1:DFS ,       0 ,     0 ,    0 ,[]
s1:UCS ,       0 ,     0 ,    0 ,[]
s1:A*  ,       0 ,     1 ,    0 ,[]
s2:BFS ,       3 ,     6 ,    2 ,"['up', 'up']"
s2:DFS ,      30 ,    42 ,   30 ,"['right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up']"
s2:UCS ,       3 ,     9 ,    2 ,"['up', 'up']"
s2:A*  ,       2 ,     3 ,    2 ,"['up', 'up']"
s3:BFS ,       6 ,    12 ,    3 ,"['left', 'left']"
s3:DFS ,       2 ,     4 ,    2 ,"['left', 'left']"
s3:UCS ,       6 ,    19 ,    3 ,"['left', 'left']"
s3:A*  ,       2 ,     3 ,    2 ,"['left', 'left']"
s4:BFS ,       5 ,    12 ,    2 ,"['up', 'left']"
